	2019-Dec	2018-Dec	2018-Nov	2019-Apr	2019-Aug	2019-Feb	2019-Jan	2019-Jul	2019-Jun	2019-Mar	2019-May	2019-Nov	2019-Sep	2020-Aug	2020-Dec	2020-Feb	2020-Jan	2020-Jul	2020-Mar	2020-Nov	2020-Oct	2020-Sep	2021-Apr	2021-Jan	2021-Jun	2021-Mar	2021-May
2021-Jun-viral-fraction__viral-spades-short__as-yet-unknown__37032bp__000107||full	2.1075509	2.2616885	2.7756891	0.1179917	2.0180602	1.5913744	1.5336978	3.277349	5.5971613	0.4709612	2.0097315	2.825256	2.9132252	2.1280067	2.0892222	1.9644858	2.51697	2.2255964	2.0751483	2.539099	6.1103196	5.2778997	2.7206318	2.3542666	17.50496	1.5461136	5.084589
2021-Jun-viral-fraction__viral-spades-short__as-yet-unknown__20671bp__000394||full	0	0	0	0	4.391551	0	0	11.224358	0.90124935	0	0	0.11807029	0.47401384	0	0	0.05279134	0.05945525	0.080882154	0	0	0	0	0	0	65.220795	0	0.4407963
2020-Aug-viral-fraction__viral-spades-short__as-yet-unknown__23251bp__000367||full	0.06513183	4.51728	6.3083644	0	0.04383802	3.2932696	2.2829747	0	0	0.6788136	0.089666195	0.06715578	0	10.455669	1.8739772	4.7155323	3.8856084	0	6.0242705	1.48524	1.5833874	5.8102837	0.2985734	1.795255	0	0.69920623	0.10258638
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__32877bp__000295||full	2.4086041	1.4115973	1.6725348	0.29680988	59.948383	1.8165628	2.1455297	126.83155	0.22305629	1.2952619	0.40594795	4.449055	15.067721	68.131615	11.455436	2.519658	2.2058382	68.17543	1.7535661	8.642356	12.328728	18.41454	6.8091197	12.155501	1.4703271	9.176068	4.666539
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__39089bp__000265||full	8.950954	4.0861406	4.709667	3.3199363	4.847941	8.939085	8.020194	7.0680413	2.3645089	14.115954	6.0334544	8.035694	6.1889787	3.9420598	7.1439137	6.5609393	6.7967877	5.422361	5.789005	7.4137583	6.660076	4.2481894	7.583074	8.104894	3.8133779	8.683548	7.6699677
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__24330bp__000717||full	1.1058104	30.871439	37.34145	0.9349865	0.048465297	4.5982413	8.385236	0	0	1.6962024	0.16452606	1.8447999	0.10147436	0	1.208113	0.86362106	0.97706807	0	0.101849146	2.5829527	4.685743	0	0.05235014	1.0145196	0	0.15061039	0
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__32536bp__000306||full	0	0.22797151	0.26915765	0.146628	2.5314643	0.21234159	0.14420241	0.8156803	0	0.058266	0	0.062298853	0.8666994	0.999442	0	0.051486246	0.104705095	0.15684798	0.14001302	0	0	0.27829504	0	0	0	0	0
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__57345bp__000067||full	0.15062912	1.2809159	1.5328338	0.2818057	1.0977472	1.142011	1.2776424	1.0966763	0.086504094	0.5682892	0.2302397	0.24152988	0.6599714	0.9319656	0.10049306	0.12397892	0.13962892	2.572738	0.22835127	0.10504869	0.23893866	0.35557464	0	0.07031796	0	0	0
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__71533bp__000040||full	6.825255	40.19257	41.69511	0.36894357	0.15414222	15.448168	15.745304	0.11141648	0.21150516	3.0737863	1.8946713	8.399846	0.48829845	0.2172424	1.3956884	2.8650248	5.417604	0.15285823	1.3826385	1.3890121	0.8642879	1.0674573	0.42160192	0.8012206	0.24669464	0.255821	0.21712509
2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__53323bp__000096||full	0.16120322	3.0283878	3.3781223	0.5640332	0.5826173	1.4048613	1.873514	0.34306395	0.29435152	0.48199373	0.39623046	0.17783912	0.6367868	0.30284494	0	0.1263746	0.12008841	0.3086104	0	0.17001572	0.34761757	0.3215231	0	0	0	0	0
