	X1.2018-Nov	X2.2018-Dec	X3.2019-Jan	X4.2019-Feb	X5.2019-Mar	X6.2019-Apr	X7.2019-May	X8.2019-Jun	X9.2019-Jul	X10.2019-Aug	X11.2019-Sep	X12.2019-Oct	X13.2019-Nov	X14.2019-Dec	X15.2020-Jan	X16.2020-Feb	X17.2020-Mar	X18.2020-Apr	X19.2020-May	X20.2020-Jun	X21.2020-Jul	X22.2020-Aug	X23.2020-Sep	X24.2020-Oct	X25.2020-Nov	X26.2020-Dec	X27.2021-Jan	X28.2021-Feb	X29.2021-Mar	X30.2021-Apr	X31.2021-May	X32.2021-Jun
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__229578bp__000001..full	6.1547594	3.806522	2.91084	0.5462734	0.34347576	0	0	0	0	0	0	0.208500965	0.41700193	0.048282508	0.07021075	0.08308006	0	0	0	0	0	0	0.459827	0.100429505	3.68937	1.4856609	0.7742226	0.3871113	0	0	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__119873bp__000010..full	1.3216848	1.0396806	0.31428784	0.3548174	0.22977017	0	0	0	0	0	0	0	0	0	0	0	0.33051544	0.24788658	0.16525772	0.08262886	0	0	0	0	0	0	0	0	0	0	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__99672bp__000014..full	0.6511146	0.52209294	0.44837227	0.46637985	0.7042828	0.71671	0.11174544	0.05145352	0.061727222	0.050369456	0.13892028	0.102659795	0.06639931	0.1048549	0.09312011	0.09862415	0.19941378	0.1988306825	0.198247585	0.1976644875	0.19708139	0.2492753	0.31634945	0.18913087	0.20274426	0.24530147	0.19815145	0.272374275	0.3465971	0.35363573	0.26981598	0.09449774
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__90748bp__000017..full	14.898502	18.227451	10.573475	8.869147	2.3522084	2.0546374	0	0.20067258	0.2168037	0.17537321	0.44689417	2.840421935	5.2339497	3.7415664	7.7175303	4.53444	3.7032378	2.87629085	2.0493439	1.22239695	0.39545	0.8788945	5.7909994	4.439057	10.733401	14.562129	12.485188	7.1349963	1.7848046	0.8745082	0.12470857	0.15243642
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__87441bp__000020..full	9.164163	6.1704617	5.294426	3.5738773	1.5367106	0.6087785	0.2123414	0.043216173	0	0	0.43216798	0.375290425	0.31841287	0.5374145	2.4934945	2.5898015	0.85081667	0.6381125025	0.425408335	0.2127041675	0	0	0.1604314	1.1829379	0.7386533	1.0905215	0.772689	0.48657427	0.20045954	0.24865061	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__84588bp__000022..full	3.5303214	4.193153	2.8471751	3.2642875	0.9430938	0.29363635	0.22182438	0.07861228	1.8209088	2.6756513	1.1295832	0.69101345	0.2524437	0	1.1048932	0.67338526	0.5562836	0.4172127	0.2781418	0.1390709	0	0	0.864055	0	0.74939084	0.52384794	0.64667404	0.32333702	0	0	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__70300bp__000044..full	17.912897	11.910754	3.718181	1.2709448	1.7277303	0.047743414	0.07747105	0.053659018	0	0.07297677	0.15302856	15.82028928	31.48755	14.2126465	3.2449934	5.7004395	1.1212515	1.029658625	0.93806575	0.846472875	0.75488	1.637789	2.2338917	22.07539	23.45731	14.745016	4.9824424	3.71279525	2.4431481	0.83924663	1.4550122	0.23768225
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__69359bp__000047..full	1.1640059	1.1081651	0.9226616	0.80639446	0.6746146	0.5303584	0.31456962	0.10966166	0.103263974	0.12984842	0.31416276	0.19167	0.06917724	0.07749849	0.043983363	0	0	0.02371754	0.04743508	0.07115262	0.09487016	0.0639487	0.04364153	0.14227922	0.19870913	0.13769366	0.09160719	0.07040502	0.04920285	0.06419554	0	0.16650666
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__69252bp__000048..full	4.011014	4.4128637	6.5599575	5.6932116	5.5139384	4.3960433	1.9186329	0.3665129	0.20298856	0.29435596	0.63046783	2.039251915	3.448036	4.743683	9.494413	8.841492	3.981194	3.135370865	2.28954773	1.443724595	0.59790146	1.060614	1.4408892	1.2143754	1.6631185	3.6303434	3.939828	5.19854525	6.4572625	5.0760083	1.7654548	0.9218295
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__65252bp__000054..full	25.562065	19.210545	20.059341	16.266317	3.274286	3.7880614	0.7123173	0.7578859	0.22790088	0.11715657	0.09215789	0.604545095	1.1169323	1.0057458	5.3996563	4.0036607	4.4735174	3.3789336925	2.284349985	1.1897662775	0.09518257	0.07151505	0.6360548	3.9870918	5.204175	5.57242	5.8759737	3.398584275	0.92119485	0.7481134	0.37618464	0.43351203
