order	row_day	col_day	days	row_Wf	col_Wf	Bray_Curtis	distname	origin	distnameR	 distnamebckwd
1	2018-Nov	2018-Dec	30	2018-Nov	2018-Dec	0.093274219	2018-Nov_2018-Dec	real	2018-Dec_2018-Nov	2018-Nov_2018-Dec
2	2018-Dec	2019-Jan	31	2018-Dec	2019-Jan	0.258208904	2018-Dec_2019-Jan	real	2019-Jan_2018-Dec	2018-Dec_2019-Jan
3	2019-Jan	2019-Feb	31	2019-Jan	2019-Feb	0.141571827	2019-Jan_2019-Feb	real	2019-Feb_2019-Jan	2019-Jan_2019-Feb
4	2019-Feb	2019-Mar	28	2019-Feb	2019-Mar	0.332780334	2019-Feb_2019-Mar	real	2019-Mar_2019-Feb	2019-Feb_2019-Mar
5	2019-Mar	2019-Apr	31	2019-Mar	2019-Apr	0.457883096	2019-Mar_2019-Apr	real	2019-Apr_2019-Mar	2019-Mar_2019-Apr
6	2019-Apr	2019-May	30	2019-Apr	2019-May	0.766423914	2019-Apr_2019-May	real	2019-May_2019-Apr	2019-Apr_2019-May
7	2019-May	2019-Jun	31	2019-May	2019-Jun	0.636511989	2019-May_2019-Jun	real	2019-Jun_2019-May	2019-May_2019-Jun
8	2019-Jun	2019-Jul	30	2019-Jun	2019-Jul	0.607223523	2019-Jun_2019-Jul	real	2019-Jul_2019-Jun	2019-Jun_2019-Jul
9	2019-Jul	2019-Aug	31	2019-Jul	2019-Aug	0.360322645	2019-Jul_2019-Aug	real	2019-Aug_2019-Jul	2019-Jul_2019-Aug
10	2019-Aug	2019-Sep	31	2019-Aug	2019-Sep	0.343965017	2019-Aug_2019-Sep	real	2019-Sep_2019-Aug	2019-Aug_2019-Sep
11	2019-Sep	2019-Oct	30	2019-Sep	2019-Oct	0.363576554	2019-Sep_2019-Oct	other_year	2019-Oct_2019-Sep	2019-Sep_2019-Oct
12	2019-Oct	2019-Nov	31	2019-Oct	2019-Nov	0.273110785	2019-Oct_2019-Nov	other_year	2019-Nov_2019-Oct	2019-Oct_2019-Nov
13	2019-Nov	2019-Dec	30	2019-Nov	2019-Dec	0.213472109	2019-Nov_2019-Dec	real	2019-Dec_2019-Nov	2019-Nov_2019-Dec
14	2019-Dec	2020-Jan	31	2019-Dec	2020-Jan	0.320580917	2019-Dec_2020-Jan	real	2020-Jan_2019-Dec	2019-Dec_2020-Jan
15	2020-Jan	2020-Feb	31	2020-Jan	2020-Feb	0.124642247	2020-Jan_2020-Feb	real	2020-Feb_2020-Jan	2020-Jan_2020-Feb
16	2020-Feb	2020-Mar	29	2020-Feb	2020-Mar	0.292433783	2020-Feb_2020-Mar	real	2020-Mar_2020-Feb	2020-Feb_2020-Mar
17	2020-Mar	2020-Apr	31	2020-Mar	2020-Apr	0.435245984	2020-Mar_2020-Apr	other_year	2020-Apr_2020-Mar	2020-Mar_2020-Apr
18	2020-Apr	2020-May	30	2020-Apr	2020-May	0.527909412	2020-Apr_2020-May	other_year	2020-May_2020-Apr	2020-Apr_2020-May
19	2020-May	2020-Jun	31	2020-May	2020-Jun	0.56674969	2020-May_2020-Jun	other_year	2020-Jun_2020-May	2020-May_2020-Jun
20	2020-Jun	2020-Jul	30	2020-Jun	2020-Jul	0.607223523	2020-Jun_2020-Jul	other_year	2020-Jul_2020-Jun	2020-Jun_2020-Jul
21	2020-Jul	2020-Aug	31	2020-Jul	2020-Aug	0.411571816	2020-Jul_2020-Aug	real	2020-Aug_2020-Jul	2020-Jul_2020-Aug
22	2020-Aug	2020-Sep	31	2020-Aug	2020-Sep	0.445721783	2020-Aug_2020-Sep	real	2020-Sep_2020-Aug	2020-Aug_2020-Sep
23	2020-Sep	2020-Oct	30	2020-Sep	2020-Oct	0.363576554	2020-Sep_2020-Oct	real	2020-Oct_2020-Sep	2020-Sep_2020-Oct
24	2020-Oct	2020-Nov	31	2020-Oct	2020-Nov	0.273110785	2020-Oct_2020-Nov	real	2020-Nov_2020-Oct	2020-Oct_2020-Nov
25	2020-Nov	2020-Dec	30	2020-Nov	2020-Dec	0.189793846	2020-Nov_2020-Dec	real	2020-Dec_2020-Nov	2020-Nov_2020-Dec
26	2020-Dec	2021-Jan	31	2020-Dec	2021-Jan	0.146668249	2020-Dec_2021-Jan	real	2021-Jan_2020-Dec	2020-Dec_2021-Jan
27	2021-Jan	2021-Feb	31	2021-Jan	2021-Feb	0.289394911	2021-Jan_2021-Feb	other_year	2021-Feb_2021-Jan	2021-Jan_2021-Feb
28	2021-Feb	2021-Mar	28	2021-Feb	2021-Mar	0.133107037	2021-Feb_2021-Mar	other_year	2021-Mar_2021-Feb	2021-Feb_2021-Mar
29	2021-Mar	2021-Apr	31	2021-Mar	2021-Apr	0.207808955	2021-Mar_2021-Apr	real	2021-Apr_2021-Mar	2021-Mar_2021-Apr
30	2021-Apr	2021-May	30	2021-Apr	2021-May	0.435245984	2021-Apr_2021-May	real	2021-May_2021-Apr	2021-Apr_2021-May
31	2021-May	2021-Jun	31	2021-May	2021-Jun	0.496987392	2021-May_2021-Jun	real	2021-Jun_2021-May	2021-May_2021-Jun
