final_kluster	annot	count.x	pattern	count.y	ratio
100s	zphosphoheptose isomerase	1	seasonal	19	0.0526315789473684
100s	primase	0	seasonal	19	0
100s	amidoligase enzyme	0	seasonal	19	0
100s	nucleotide-sugar epimerase	4	seasonal	19	0.210526315789474
100s	ferrochelatase	0	seasonal	19	0
100s	2OG-Fe(II) oxygenase	1	seasonal	19	0.0526315789473684
101s	zphosphoheptose isomerase	0	seasonal	19	0
101s	nucleotide-sugar epimerase	4	seasonal	19	0.210526315789474
101s	amidoligase enzyme	0	seasonal	19	0
101s	primase	0	seasonal	19	0
101s	ferrochelatase	0	seasonal	19	0
101s	2OG-Fe(II) oxygenase	2	seasonal	19	0.105263157894737
102s	ferrochelatase	0	seasonal	28	0
102s	zphosphoheptose isomerase	0	seasonal	28	0
102s	2OG-Fe(II) oxygenase	0	seasonal	28	0
102s	nucleotide-sugar epimerase	2	seasonal	28	0.0714285714285714
102s	amidoligase enzyme	0	seasonal	28	0
102s	primase	0	seasonal	28	0
103s	ferrochelatase	0	seasonal	35	0
103s	zphosphoheptose isomerase	1	seasonal	35	0.0285714285714286
103s	nucleotide-sugar epimerase	6	seasonal	35	0.171428571428571
103s	primase	1	seasonal	35	0.0285714285714286
103s	2OG-Fe(II) oxygenase	1	seasonal	35	0.0285714285714286
103s	amidoligase enzyme	1	seasonal	35	0.0285714285714286
104s	ferrochelatase	4	seasonal	35	0.114285714285714
104s	zphosphoheptose isomerase	0	seasonal	35	0
104s	primase	7	seasonal	35	0.2
104s	nucleotide-sugar epimerase	0	seasonal	35	0
104s	2OG-Fe(II) oxygenase	11	seasonal	35	0.314285714285714
104s	amidoligase enzyme	0	seasonal	35	0
105s	zphosphoheptose isomerase	0	seasonal	23	0
105s	2OG-Fe(II) oxygenase	1	seasonal	23	0.0434782608695652
105s	ferrochelatase	0	seasonal	23	0
105s	nucleotide-sugar epimerase	3	seasonal	23	0.130434782608696
105s	amidoligase enzyme	0	seasonal	23	0
105s	primase	0	seasonal	23	0
106s	ferrochelatase	0	seasonal	17	0
106s	zphosphoheptose isomerase	0	seasonal	17	0
106s	2OG-Fe(II) oxygenase	3	seasonal	17	0.176470588235294
106s	primase	0	seasonal	17	0
106s	nucleotide-sugar epimerase	12	seasonal	17	0.705882352941177
106s	amidoligase enzyme	0	seasonal	17	0
107s	ferrochelatase	0	seasonal	9	0
107s	zphosphoheptose isomerase	0	seasonal	9	0
107s	2OG-Fe(II) oxygenase	0	seasonal	9	0
107s	amidoligase enzyme	0	seasonal	9	0
107s	primase	1	seasonal	9	0.111111111111111
107s	nucleotide-sugar epimerase	0	seasonal	9	0
108s	zphosphoheptose isomerase	1	seasonal	11	0.0909090909090909
108s	ferrochelatase	0	seasonal	11	0
108s	primase	0	seasonal	11	0
