	2019-Dec	2018-Dec	2018-Nov	2019-Apr	2019-Aug	2019-Feb	2019-Jan	2019-Jul	2019-Jun	2019-Mar	2019-May	2019-Nov	2019-Sep	2020-Aug	2020-Dec	2020-Feb	2020-Jan	2020-Jul	2020-Mar	2020-Nov	2020-Oct	2020-Sep	2021-Apr	2021-Jan	2021-Jun	2021-Mar	2021-May
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__229578bp__000001||full	0.048282508	3.806522	6.1547594	0	0	0.5462734	2.91084	0	0	0.34347576	0	0.41700193	0	0	1.4856609	0.08308006	0.07021075	0	0	3.68937	0.100429505	0.459827	0	0.7742226	0	0	0
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__169990bp__000002||full	0	1.2972084	1.1330459	0.31232306	0	1.3176563	0.62605447	0	0	15.651418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__119873bp__000010||full	0	1.0396806	1.3216848	0	0	0.3548174	0.31428784	0	0	0.22977017	0	0	0	0	0	0	0	0	0.33051544	0	0	0	0	0	0	0	0
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__99672bp__000014||full	0.1048549	0.52209294	0.6511146	0.71671	0.050369456	0.46637985	0.44837227	0.061727222	0.05145352	0.7042828	0.11174544	0.06639931	0.13892028	0.2492753	0.24530147	0.09862415	0.09312011	0.19708139	0.19941378	0.20274426	0.18913087	0.31634945	0.35363573	0.19815145	0.09449774	0.3465971	0.26981598
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__90748bp__000017||full	3.7415664	18.227451	14.898502	2.0546374	0.17537321	8.869147	10.573475	0.2168037	0.20067258	2.3522084	0	5.2339497	0.44689417	0.8788945	14.562129	4.53444	7.7175303	0.39545	3.7032378	10.733401	4.439057	5.7909994	0.8745082	12.485188	0.15243642	1.7848046	0.12470857
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__87441bp__000020||full	0.5374145	6.1704617	9.164163	0.6087785	0	3.5738773	5.294426	0	0.043216173	1.5367106	0.2123414	0.31841287	0.43216798	0	1.0905215	2.5898015	2.4934945	0	0.85081667	0.7386533	1.1829379	0.1604314	0.24865061	0.772689	0	0.20045954	0
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__84588bp__000022||full	0	4.193153	3.5303214	0.29363635	2.6756513	3.2642875	2.8471751	1.8209088	0.07861228	0.9430938	0.22182438	0.2524437	1.1295832	0	0.52384794	0.67338526	1.1048932	0	0.5562836	0.74939084	0	0.864055	0	0.64667404	0	0	0
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__70300bp__000044||full	14.2126465	11.910754	17.912897	0.047743414	0.07297677	1.2709448	3.718181	0	0.053659018	1.7277303	0.07747105	31.48755	0.15302856	1.637789	14.745016	5.7004395	3.2449934	0.75488	1.1212515	23.45731	22.07539	2.2338917	0.83924663	4.9824424	0.23768225	2.4431481	1.4550122
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__69359bp__000047||full	0.07749849	1.1081651	1.1640059	0.5303584	0.12984842	0.80639446	0.9226616	0.103263974	0.10966166	0.6746146	0.31456962	0.06917724	0.31416276	0.0639487	0.13769366	0	0.043983363	0.09487016	0	0.19870913	0.14227922	0.04364153	0.06419554	0.09160719	0.16650666	0.04920285	0
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__69252bp__000048||full	4.743683	4.4128637	4.011014	4.3960433	0.29435596	5.6932116	6.5599575	0.20298856	0.3665129	5.5139384	1.9186329	3.448036	0.63046783	1.060614	3.6303434	8.841492	9.494413	0.59790146	3.981194	1.6631185	1.2143754	1.4408892	5.0760083	3.939828	0.9218295	6.4572625	1.7654548
