klusters_tree_list3	obs
1	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__102143bp__000015..full
2	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__10315bp__003660..full
3	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__103498bp__000014..full
4	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__13123bp__002325..full
5	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__13243bp__002284..full
6	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__146467bp__000005..full
7	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__15994bp__001642..full
8	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__16492bp__001540..full
9	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__17172bp__001441..full
6	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__17624bp__001372..full
10	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__17957bp__001329..full
5	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__18050bp__001315..full
11	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__18153bp__001291..full
1	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__18665bp__001231..full
6	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__18798bp__001215..full
3	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__19013bp__001185..full
12	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__19125bp__001170..full
13	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__19609bp__001111..full
14	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__19681bp__001105..full
11	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__19952bp__001071..full
5	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__20132bp__001052..full
15	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__20387bp__001025..full
8	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__20431bp__001019..full
3	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__20532bp__001012..full
5	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__20946bp__000981..full
10	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__21123bp__000967..full
3	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__21196bp__000961..full
16	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__21386bp__000947..full
17	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__21873bp__000903..full
18	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__22151bp__000879..full
19	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__22349bp__000863..full
20	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__22751bp__000836..full
21	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__23084bp__000819..full
22	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__23776bp__000776..full
7	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__25450bp__000685..full
21	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__25883bp__000659..full
12	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__26199bp__000640..full
6	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__26217bp__000638..full
18	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__26533bp__000626..full
5	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__26766bp__000614..full
23	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__27211bp__000592..full
1	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__27345bp__000586..full
24	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__27445bp__000583..full
25	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__29310bp__000502..full
11	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__29345bp__000500..full
8	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__29497bp__000492..full
22	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__29638bp__000490..full
13	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__29659bp__000489..full
1	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__29915bp__000479..full
14	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__29962bp__000478..full
26	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__30012bp__000476..full
1	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__30159bp__000467..full
6	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__30449bp__000457..full
13	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__30461bp__000456..full
14	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__30504bp__000453..full
26	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__31342bp__000433..full
3	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__31944bp__000412..full
5	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__32054bp__000410..full
13	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__32210bp__000405..full
8	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__32701bp__000395..full
5	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__33023bp__000382..full
19	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__33057bp__000379..full
27	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__33127bp__000378..full
7	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__33185bp__000375..full
5	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__33325bp__000372..full
14	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__33348bp__000371..full
19	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__33425bp__000369..full
6	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__33464bp__000366..full
28	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__33873bp__000359..full
