contig	final_kluster	seasonal_pattern	klusters_tree_HC	klusters_tree_TsClust	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	vc2_clus_1	vc2_clus_2	vc2_clus_3	vc2_clus_4	vc2_clus_5	vc2_clus_6	RaFah_host_prediction	CDS
2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__30449bp__000457||full	25s	seasonal	8	25	30445	No	NA	45	16	0	Medium-quality	Genome-fragment	50.75	AAI-based (high-confidence)	0	1	1768	NA	NA	NA	NA	NA	Vibrio	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__30449bp__000457||full_CDS_0019
2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__30449bp__000457||full	25s	seasonal	8	25	30445	No	NA	45	16	0	Medium-quality	Genome-fragment	50.75	AAI-based (high-confidence)	0	1	1768	NA	NA	NA	NA	NA	Vibrio	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__30449bp__000457||full_CDS_0020
2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__34664bp__000346||full	31s	seasonal	33	31	34660	No	NA	42	21	0	Medium-quality	Genome-fragment	57.26	AAI-based (high-confidence)	0	1	53	34	NA	NA	NA	NA	Vibrio	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__34664bp__000346||full_CDS_0028
2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__38279bp__000263||full	1s	seasonal	10	1	38277	No	NA	62	19	0	Medium-quality	Genome-fragment	63.38	AAI-based (medium-confidence)	0	1	279	NA	NA	NA	NA	NA	Vibrio	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__38279bp__000263||full_CDS_0006
2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__47852bp__000159||full	10s	seasonal	18	10	47850	No	NA	76	30	0	Medium-quality	Genome-fragment	76.66	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Acidovorax	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__47852bp__000159||full_CDS_0048
2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__54788bp__000109||full	11s	seasonal	38	11	54786	No	NA	78	23	2	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	449	624	NA	NA	NA	NA	Pseudomonas	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__54788bp__000109||full_CDS_0032
2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__55396bp__000106||full	1s	seasonal	10	1	55393	No	NA	69	19	0	Medium-quality	Genome-fragment	88.84	AAI-based (high-confidence)	0	1	1456	NA	NA	NA	NA	NA	Kingella	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__55396bp__000106||full_CDS_0067
2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__55396bp__000106||full	1s	seasonal	10	1	55393	No	NA	69	19	0	Medium-quality	Genome-fragment	88.84	AAI-based (high-confidence)	0	1	1456	NA	NA	NA	NA	NA	Kingella	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__55396bp__000106||full_CDS_0065
2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__55396bp__000106||full	1s	seasonal	10	1	55393	No	NA	69	19	0	Medium-quality	Genome-fragment	88.84	AAI-based (high-confidence)	0	1	1456	NA	NA	NA	NA	NA	Kingella	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__55396bp__000106||full_CDS_0066
2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__55396bp__000106||full	1s	seasonal	10	1	55393	No	NA	69	19	0	Medium-quality	Genome-fragment	88.84	AAI-based (high-confidence)	0	1	1456	NA	NA	NA	NA	NA	Kingella	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__55396bp__000106||full_CDS_0060
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__119873bp__000010||full	10s	seasonal	15	10	118928	No	NA	128	82	4	Medium-quality	Genome-fragment	62.42	AAI-based (high-confidence)	0	1	1129	NA	NA	NA	NA	NA	Synechococcus	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__119873bp__000010||full_CDS_0030
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__119873bp__000010||full	10s	seasonal	15	10	118928	No	NA	128	82	4	Medium-quality	Genome-fragment	62.42	AAI-based (high-confidence)	0	1	1129	NA	NA	NA	NA	NA	Synechococcus	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__119873bp__000010||full_CDS_0026
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__169990bp__000002||full	10ns	non.seasonal	12	10	168841	No	NA	176	36	105	High-quality	High-quality	95.03	HMM-based (lower-bound)	0	1	NA	NA	NA	NA	NA	NA	Escherichia	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__169990bp__000002||full_CDS_0071
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__30969bp__000425||full	6s	seasonal	14	6	30942	No	NA	44	20	0	Medium-quality	Genome-fragment	50.08	AAI-based (high-confidence)	0	1	217	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__30969bp__000425||full_CDS_0018
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__30969bp__000425||full	6s	seasonal	14	6	30942	No	NA	44	20	0	Medium-quality	Genome-fragment	50.08	AAI-based (high-confidence)	0	1	217	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__30969bp__000425||full_CDS_0019
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__30969bp__000425||full	6s	seasonal	14	6	30942	No	NA	44	20	0	Medium-quality	Genome-fragment	50.08	AAI-based (high-confidence)	0	1	217	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__30969bp__000425||full_CDS_0013
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__32377bp__000392||full	3s	seasonal	17	3	32376	No	NA	41	13	1	Medium-quality	Genome-fragment	55.39	AAI-based (medium-confidence)	0	1	23	19	22	NA	NA	NA	Vibrio	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__32377bp__000392||full_CDS_0037
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__32377bp__000392||full	3s	seasonal	17	3	32376	No	NA	41	13	1	Medium-quality	Genome-fragment	55.39	AAI-based (medium-confidence)	0	1	23	19	22	NA	NA	NA	Vibrio	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__32377bp__000392||full_CDS_0034
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__33702bp__000344||full	21s	seasonal	22	21	33700	No	NA	59	25	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	640	NA	NA	NA	NA	NA	ND	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__33702bp__000344||full_CDS_0030
