final_kluster	contig	seasonal_pattern	klusters_tree_HC	klusters_tree_TsClust	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	RaFah_host_prediction	peaking	Closer_VC2	Accession_VC2	Status_VC2	VC_VC2	Level_VC2	Weight_VC2	Host_VC2	host_for_tree	BaltimoreGroup	Realm	Kingdom	Phylum	Class	Order	Family	Subfamily	Genus
100s	2019-May-viral-fraction__viral-spades-short__as-yet-unknown__31548bp__000197||full	seasonal	104	100	31546	No	NA	39	15	1	Medium-quality	Genome-fragment	53.47	AAI-based (medium-confidence)	0	1	Caulobacter	winter	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
100s	2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__42116bp__000168||full	seasonal	104	100	41498	No	NA	60	11	1	Medium-quality	Genome-fragment	87.1	AAI-based (high-confidence)	0	1	Roseburia	winter	n.a.	n.a.	Clustered	VC_65_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
100s	2021-Apr-viral-fraction__viral-spades-short__as-yet-unknown__18162bp__000890||full	seasonal	104	100	18160	No	NA	22	4	0	Medium-quality	Genome-fragment	55.12	AAI-based (high-confidence)	0	1	ND	winter	n.a.	n.a.	Clustered	VC_456_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
100s	2021-Apr-viral-fraction__viral-spades-short__as-yet-unknown__32514bp__000246||full	seasonal	104	100	32387	No	NA	47	8	0	High-quality	High-quality	98.46	AAI-based (high-confidence)	0	1.01	ND	winter	n.a.	n.a.	Clustered	VC_456_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
100s	2021-Apr-viral-fraction__viral-spades-short__as-yet-unknown__33691bp__000215||full	seasonal	61	100	33690	No	NA	67	12	1	Medium-quality	Genome-fragment	58.06	AAI-based (high-confidence)	0	1	Vibrio	winter	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
100s	2021-Apr-viral-fraction__viral-spades-short__as-yet-unknown__36436bp__000178||full	seasonal	104	100	36433	No	NA	53	10	1	Medium-quality	Genome-fragment	76.49	AAI-based (high-confidence)	0	1	Roseburia	winter	n.a.	n.a.	Clustered	VC_65_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
100s	2021-Apr-viral-fraction__viral-spades-short__as-yet-unknown__36985bp__000169||full	seasonal	104	100	36983	No	NA	50	18	0	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	ND	winter	Pelagibacter phage HTVC028P	MW273921	Clustered	VC_37_0	C47	4	Pelagibacter	PelagibacterVC2	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Unclassified	Unclassified
100s	2021-Apr-viral-fraction__viral-spades-short__as-yet-unknown__44338bp__000102||full	seasonal	104	100	44085	No	NA	74	27	1	Medium-quality	Genome-fragment	62.84	AAI-based (high-confidence)	0	1	Synechococcus	winter	Synechococcus phage S-CBS2	GU936714	Clustered	VC_418_0	C2	91	Synechococcus	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Unclassified	Unclassified
100s	2021-Apr-viral-fraction__viral-spades-short__as-yet-unknown__60381bp__000031||full	seasonal	104	100	60381	No	NA	87	25	2	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	Vibrio	winter		MW202510	Clustered	VC_168_0	N71	11		other						n.a.	n.a.	O	O
100s	2021-Jan-viral-fraction__viral-spades-short__as-yet-unknown__113752bp__000008||full	seasonal	104	100	113625	No	NA	121	8	2	High-quality	High-quality	98.45	AAI-based (high-confidence)	0	1	Prevotella	winter	n.a.	n.a.	Clustered	VC_352_1	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
100s	2021-Jan-viral-fraction__viral-spades-short__as-yet-unknown__32858bp__000267||full	seasonal	104	100	32855	No	NA	52	7	1	Medium-quality	Genome-fragment	89.92	AAI-based (medium-confidence)	0	1	ND	winter	n.a.	n.a.	Clustered	VC_339_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
100s	2021-Jun-viral-fraction__viral-spades-short__as-yet-unknown__14657bp__000823||full	seasonal	61	100	14654	No	NA	7	2	0	Medium-quality	Genome-fragment	57.02	AAI-based (medium-confidence)	0	1	Pseudomonas	winter	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
