contig	final_kluster	seasonal_pattern	klusters_tree_HC	klusters_tree_TsClust	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	vc2_clus_1	vc2_clus_2	vc2_clus_3	vc2_clus_4	vc2_clus_5	vc2_clus_6	RaFah_host_prediction	label
2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__29638bp__000490||full	22s	seasonal	23	22	29637	No	NA	28	9	0	Medium-quality	Genome-fragment	50.29	AAI-based (medium-confidence)	0	1	36	NA	NA	NA	NA	NA	Methylocaldum	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__29638bp__000490||full_CDS_0010
2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__30012bp__000476||full	3s	seasonal	3	3	30011	No	NA	40	10	0	Medium-quality	Genome-fragment	50.32	AAI-based (medium-confidence)	0	1	36	NA	NA	NA	NA	NA	Methylocaldum	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__30012bp__000476||full_CDS_0029
2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__34664bp__000346||full	31s	seasonal	33	31	34660	No	NA	42	21	0	Medium-quality	Genome-fragment	57.26	AAI-based (high-confidence)	0	1	53	34	NA	NA	NA	NA	Vibrio	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__34664bp__000346||full_CDS_0006
2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__38279bp__000263||full	1s	seasonal	10	1	38277	No	NA	62	19	0	Medium-quality	Genome-fragment	63.38	AAI-based (medium-confidence)	0	1	279	NA	NA	NA	NA	NA	Vibrio	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__38279bp__000263||full_CDS_0021
2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__45768bp__000181||full	1s	seasonal	1	1	45765	No	NA	52	19	0	Medium-quality	Genome-fragment	80.32	AAI-based (high-confidence)	0	1	38	36	NA	NA	NA	NA	Methylocaldum	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__45768bp__000181||full_CDS_0052
2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__47852bp__000159||full	10s	seasonal	18	10	47850	No	NA	76	30	0	Medium-quality	Genome-fragment	76.66	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Acidovorax	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__47852bp__000159||full_CDS_0027
2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__50140bp__000140||full	31s	seasonal	37	31	50013	No	NA	55	9	1	High-quality	High-quality	97.25	AAI-based (medium-confidence)	0	1	582	NA	NA	NA	NA	NA	Roseburia	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__50140bp__000140||full_CDS_0035
2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__55015bp__000108||full	36s	seasonal	39	36	54651	No	NA	66	19	1	High-quality	High-quality	92.49	AAI-based (high-confidence)	0	1	38	36	NA	NA	NA	NA	Methylocaldum	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__55015bp__000108||full_CDS_0011
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__32377bp__000392||full	3s	seasonal	17	3	32376	No	NA	41	13	1	Medium-quality	Genome-fragment	55.39	AAI-based (medium-confidence)	0	1	23	19	22	NA	NA	NA	Vibrio	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__32377bp__000392||full_CDS_0016
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__34643bp__000319||full	5s	seasonal	15	5	34642	No	NA	51	14	0	Medium-quality	Genome-fragment	61.4	AAI-based (high-confidence)	0	1	531	523	NA	NA	NA	NA	Vibrio	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__34643bp__000319||full_CDS_0030
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__47184bp__000155||full	15s	seasonal	41	15	47181	No	NA	60	22	1	Medium-quality	Genome-fragment	80.63	AAI-based (high-confidence)	0	1	1385	498	NA	NA	NA	NA	Acidovorax	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__47184bp__000155||full_CDS_0029
