contig	final_kluster	seasonal_pattern	klusters_tree_HC	klusters_tree_TsClust	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	vc2_clus_1	vc2_clus_2	vc2_clus_3	vc2_clus_4	vc2_clus_5	vc2_clus_6	RaFah_host_prediction	label
2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__34664bp__000346||full	31s	seasonal	33	31	34660	No	NA	42	21	0	Medium-quality	Genome-fragment	57.26	AAI-based (high-confidence)	0	1	53	34	NA	NA	NA	NA	Vibrio	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__34664bp__000346||full_CDS_0025
2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__47852bp__000159||full	10s	seasonal	18	10	47850	No	NA	76	30	0	Medium-quality	Genome-fragment	76.66	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Acidovorax	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__47852bp__000159||full_CDS_0044
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__32377bp__000392||full	3s	seasonal	17	3	32376	No	NA	41	13	1	Medium-quality	Genome-fragment	55.39	AAI-based (medium-confidence)	0	1	23	19	22	NA	NA	NA	Vibrio	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__32377bp__000392||full_CDS_0039
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__36914bp__000275||full	1s	seasonal	32	1	36910	No	NA	56	21	0	Medium-quality	Genome-fragment	61.15	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__36914bp__000275||full_CDS_0041
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__54338bp__000088||full	15ns	non.seasonal	16	15	54335	No	NA	76	26	0	Medium-quality	Genome-fragment	85.67	AAI-based (high-confidence)	0	1	213	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__54338bp__000088||full_CDS_0071
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__40839bp__000149||full	1s	seasonal	10	1	40839	No	NA	59	19	0	Medium-quality	Genome-fragment	67.01	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__40839bp__000149||full_CDS_0049
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__52796bp__000065||full	46s	seasonal	70	46	52792	No	NA	76	26	1	Medium-quality	Genome-fragment	89.01	AAI-based (high-confidence)	0	1	526	1065	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__52796bp__000065||full_CDS_0045
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__30886bp__000352||full	84s	seasonal	87	84	30833	No	NA	39	11	0	Medium-quality	Genome-fragment	51.46	AAI-based (high-confidence)	0	1	648	653	NA	NA	NA	NA	Methylocaldum	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__30886bp__000352||full_CDS_0028
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__32935bp__000293||full	85s	seasonal	66	85	32860	No	NA	33	12	0	Medium-quality	Genome-fragment	51.11	AAI-based (high-confidence)	0	1	647	30	31	NA	NA	NA	Candidatus Pelagibacter	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__32935bp__000293||full_CDS_0021
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__37554bp__000200||full	86s	seasonal	80	86	37360	No	NA	49	19	0	Medium-quality	Genome-fragment	61.22	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Vibrio	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__37554bp__000200||full_CDS_0019
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__58861bp__000062||full	89s	seasonal	90	89	58656	No	NA	90	37	0	High-quality	High-quality	97	AAI-based (high-confidence)	0	1	54	NA	NA	NA	NA	NA	Vibrio	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__58861bp__000062||full_CDS_0090
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__79273bp__000025||full	11ns	non.seasonal	13	11	79098	No	NA	86	46	2	Medium-quality	Genome-fragment	53.7	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__79273bp__000025||full_CDS_0034
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__24595bp__000640||full	12s	seasonal	12	12	24592	No	NA	46	8	0	Medium-quality	Genome-fragment	63.41	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__24595bp__000640||full_CDS_0038
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__31645bp__000377||full	42s	seasonal	67	42	31641	No	NA	38	9	1	Medium-quality	Genome-fragment	51.54	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Vibrio	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__31645bp__000377||full_CDS_0006
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__52029bp__000104||full	68s	seasonal	95	68	52001	No	NA	79	26	1	Medium-quality	Genome-fragment	83.91	AAI-based (high-confidence)	0	1	29	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__52029bp__000104||full_CDS_0042
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__55206bp__000089||full	37s	seasonal	40	37	55205	No	NA	85	22	0	Medium-quality	Genome-fragment	67.46	HMM-based (lower-bound)	0	1	525	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__55206bp__000089||full_CDS_0082
2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__60471bp__000054||full	54s	seasonal	20	54	60469	No	NA	96	29	0	High-quality	High-quality	97.7	AAI-based (high-confidence)	0	1	281	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__60471bp__000054||full_CDS_0033
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__31093bp__000247||full	89s	seasonal	92	89	31056	No	NA	39	12	0	Medium-quality	Genome-fragment	51.13	AAI-based (medium-confidence)	0	1	653	NA	NA	NA	NA	NA	Vibrio	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__31093bp__000247||full_CDS_0027
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__32494bp__000219||full	26s	seasonal	28	26	32494	No	NA	45	13	0	Medium-quality	Genome-fragment	50.33	AAI-based (high-confidence)	0	1	647	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__32494bp__000219||full_CDS_0008
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__37164bp__000152||full	85s	seasonal	90	85	36914	No	NA	49	16	0	Medium-quality	Genome-fragment	58.48	AAI-based (high-confidence)	0	1	217	NA	NA	NA	NA	NA	Vibrio	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__37164bp__000152||full_CDS_0016
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__40866bp__000125||full	15s	seasonal	41	15	40865	No	NA	67	24	0	Medium-quality	Genome-fragment	67.41	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Vibrio	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__40866bp__000125||full_CDS_0006
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__56693bp__000048||full	43s	seasonal	73	43	56691	No	NA	85	30	0	High-quality	High-quality	94.13	AAI-based (high-confidence)	0	1	648	653	NA	NA	NA	NA	Vibrio	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__56693bp__000048||full_CDS_0050
